epoch_time,temp_min,temp_max,prec
-2508915600,20.0,27.3,105.3
-2506237200,22.8,29.0,336.0
-2503558800,20.8,28.3,101.9
-2500966800,12.3,20.3,303.2
-2498288400,6.2,16.2,173.3
-2495696400,4.7,14.7,47.8
-2493018000,-2.6,8.8,30.5
-2490339600,-0.4,8.6,66.9
-2487920400,4.2,13.7,179.9
-2485242000,7.5,16.6,106.4
-2482650000,12.8,23.4,52.0
-2479971600,16.7,24.2,193.9
-2477379600,21.7,28.7,81.7
-2474701200,22.0,29.6,45.5
-2472022800,20.9,28.4,247.7
-2469430800,11.7,21.8,20.0
-2466752400,5.5,16.0,138.8
-2464160400,0.3,11.9,57.5
-2461482000,-0.6,9.0,13.6
-2458803600,-0.4,9.0,127.0
-2456298000,0.8,9.9,141.7
-2453619600,8.1,17.9,112.5
-2451027600,12.1,21.1,347.5
-2448349200,18.4,24.1,285.9
-2445757200,22.4,29.7,109.1
-2443078800,22.5,31.1,20.9
-2440400400,19.8,26.8,288.9
-2437808400,13.2,20.3,136.6
-2435130000,5.5,15.0,126.2
-2432538000,-1.8,9.3,5.2
-2429859600,-2.5,8.5,50.9
-2427181200,-1.7,6.9,49.8
-2424762000,0.9,11.8,26.0
-2422083600,8.5,18.2,204.1
-2419491600,11.3,20.1,267.9
-2416813200,16.8,24.6,95.5
-2414221200,21.1,30.2,54.9
-2411542800,22.7,30.6,95.3
-2408864400,18.7,26.9,90.8
-2406272400,12.1,20.3,147.8
-2403594000,5.0,15.8,76.6
-2401002000,-0.5,11.1,1.7
-2398323600,-1.3,8.2,42.5
-2395645200,-1.3,9.3,31.1
-2393226000,4.0,13.0,112.4
-2390547600,9.5,18.6,178.3
-2387955600,11.3,20.9,84.3
-2385277200,19.7,28.1,57.5
-2382685200,23.0,31.6,61.6
-2380006800,23.4,31.5,199.5
-2377328400,19.1,25.5,144.9
-2374736400,12.2,19.5,192.7
-2372058000,7.0,17.2,98.4
-2369466000,0.7,11.7,117.6
-2366787600,-2.5,7.7,43.5
-2364109200,-1.1,9.4,88.1
-2361690000,2.4,11.9,69.1
-2359011600,7.6,18.2,92.4
-2356419600,12.7,22.2,58.8
-2353741200,16.6,24.5,177.6
-2351149200,19.4,25.7,299.8
-2348470800,22.8,29.7,129.3
-2345792400,19.7,27.1,83.6
-2343200400,13.2,20.9,157.6
-2340522000,5.5,15.2,123.9
-2337930000,0.9,11.4,74.1
-2335251600,-1.7,9.3,35.9
-2332573200,-0.4,8.5,105.5
-2330067600,1.5,10.9,64.6
-2327389200,9.4,18.2,127.3
-2324797200,12.6,20.8,130.5
-2322118800,18.1,25.7,74.4
-2319526800,21.0,28.1,67.1
-2316848400,22.5,30.4,152.7
-2314170000,19.2,26.2,208.4
-2311578000,12.5,20.1,171.7
-2308899600,6.1,16.1,195.8
-2306307600,0.3,10.3,40.0
-2303629200,-0.3,8.1,88.1
-2300950800,-1.0,8.4,47.0
-2298531600,1.7,10.1,81.3
-2295853200,6.8,15.7,160.9
-2293261200,12.9,21.9,120.4
-2290582800,15.4,22.9,145.4
-2287990800,19.9,26.6,141.7
-2285312400,21.7,29.2,75.6
-2282634000,17.6,24.8,398.5
-2280042000,11.3,20.2,131.7
-2277363600,5.8,15.1,106.4
-2274771600,-1.5,10.0,0.2
-2272093200,0.0,7.9,126.9
-2269414800,0.1,9.3,97.1
-2266995600,1.8,10.1,47.1
-2264317200,6.8,16.0,191.5
-2261725200,12.0,21.3,115.2
-2259046800,15.8,23.2,254.8
-2256454800,21.8,30.3,44.0
-2253776400,22.7,30.6,219.8
-2251098000,18.4,25.6,249.1
-2248506000,12.2,20.7,79.5
-2245827600,7.1,15.7,158.4
-2243235600,2.6,11.3,128.5
-2240557200,-1.3,8.9,30.1
-2237878800,0.2,9.2,87.9
-2235459600,3.8,13.6,182.6
-2232781200,8.4,17.8,105.5
-2230189200,13.4,22.7,124.4
-2227510800,18.0,25.8,124.5
-2224918800,20.2,26.9,274.7
-2222240400,22.8,30.3,60.8
-2219562000,16.9,23.5,196.2
-2216970000,10.4,19.7,354.5
-2214291600,4.0,14.6,16.3
-2211699600,1.1,10.3,91.6
-2209021200,-2.1,6.0,69.2
-2206342800,-1.0,8.2,31.3
-2203923600,1.1,10.8,69.3
-2201245200,7.5,15.7,168.6
-2198653200,12.8,22.3,127.3
-2195974800,15.2,24.0,89.4
-2193382800,19.7,26.5,122.1
-2190704400,22.6,30.5,66.3
-2188026000,19.3,26.9,173.9
-2185434000,12.6,21.6,113.6
-2182755600,6.7,16.3,131.9
-2180163600,0.9,11.5,25.1
-2177485200,0.2,9.0,74.4
-2174806800,-1.3,9.5,30.2
-2172387600,2.1,12.9,131.2
-2169709200,9.0,18.1,132.6
-2167117200,12.0,20.8,149.3
-2164438800,17.4,24.6,172.1
-2161846800,19.3,26.0,229.0
-2159168400,21.6,29.9,53.8
-2156490000,18.9,26.7,130.8
-2153898000,13.2,21.2,311.1
-2151219600,5.5,15.7,63.6
-2148627600,-0.5,10.7,110.8
-2145949200,-2.4,8.6,33.4
-2143270800,-1.2,9.1,20.9
-2140851600,3.6,13.5,92.4
-2138173200,6.4,16.9,140.3
-2135581200,12.1,20.7,222.7
-2132902800,16.3,24.1,204.7
-2130310800,18.8,25.6,159.6
-2127632400,20.2,26.2,310.3
-2124954000,19.6,26.4,244.2
-2122362000,12.7,21.3,104.7
-2119683600,7.7,16.3,105.1
-2117091600,3.8,11.5,115.4
-2114413200,0.9,9.1,122.4
-2111734800,-0.2,8.9,80.0
-2109315600,4.2,12.1,165.9
-2106637200,8.7,17.2,155.5
-2104045200,11.7,20.6,159.0
-2101366800,15.8,24.2,145.4
-2098774800,20.3,26.9,286.8
-2096096400,21.6,31.0,22.6
-2093418000,18.9,26.5,284.4
-2090826000,12.0,18.9,294.7
-2088147600,4.7,14.0,130.0
-2085555600,-0.2,9.2,65.5
-2082877200,-2.3,7.2,7.0
-2080198800,0.2,9.0,67.7
-2077693200,2.6,10.3,101.5
-2075014800,9.3,17.6,97.3
-2072422800,11.9,19.8,142.4
-2069744400,18.4,25.9,91.6
-2067152400,21.7,28.7,239.4
-2064474000,21.2,29.9,74.7
-2061795600,17.6,25.3,200.5
-2059203600,13.2,20.3,248.8
-2056525200,3.8,15.1,14.5
-2053933200,0.7,10.3,96.4
-2051254800,0.1,9.2,59.8
-2048576400,-1.6,7.7,47.6
-2046157200,1.2,10.4,97.9
-2043478800,6.6,15.6,152.2
-2040886800,12.8,21.1,131.0
-2038208400,17.9,24.1,237.4
-2035616400,20.2,27.3,94.2
-2032938000,19.4,25.7,202.5
-2030259600,18.5,25.9,83.5
-2027667600,12.6,20.3,70.5
-2024989200,6.0,14.9,66.8
-2022397200,2.9,11.2,86.7
-2019718800,-2.1,7.1,62.5
-2017040400,-0.5,6.2,166.7
-2014621200,2.7,12.1,61.5
-2011942800,7.9,17.9,43.5
-2009350800,11.9,21.0,80.6
-2006672400,15.2,22.1,165.3
-2004080400,20.9,27.0,154.9
-2001402000,21.1,28.6,253.5
-1998723600,16.7,23.2,226.4
-1996131600,11.5,19.3,220.5
-1993453200,5.0,14.1,61.7
-1990861200,0.8,12.0,22.4
-1988182800,0.0,8.4,47.1
-1985504400,-1.8,8.0,4.4
-1983085200,1.0,10.6,144.1
-1980406800,7.6,17.3,143.8
-1977814800,12.5,21.9,168.1
-1975136400,15.8,22.9,169.8
-1972544400,19.6,26.6,102.9
-1969866000,23.0,29.6,219.0
-1967187600,18.4,24.7,265.9
-1964595600,11.2,20.1,226.2
-1961917200,7.8,15.3,127.6
-1959325200,-0.3,9.9,21.5
-1956646800,-1.2,8.3,28.3
-1953968400,-1.0,8.6,35.6
-1951462800,2.0,10.7,137.0
-1948784400,7.7,16.9,185.3
-1946192400,11.8,20.7,147.8
-1943514000,17.6,24.9,219.0
-1940922000,19.1,25.9,152.8
-1938243600,22.3,29.5,223.6
-1935565200,16.5,23.2,370.6
-1932973200,12.4,20.6,116.5
-1930294800,3.9,14.8,14.8
-1927702800,0.0,10.2,60.8
-1925024400,-1.4,6.1,103.9
-1922346000,-1.6,8.7,32.0
-1919926800,2.8,10.3,196.6
-1917248400,8.4,18.9,140.3
-1914656400,12.3,21.5,178.1
-1911978000,17.3,23.8,172.6
-1909386000,21.0,28.3,118.3
-1906707600,21.7,29.7,92.2
-1904029200,18.7,25.3,346.5
-1901437200,10.9,19.4,57.8
-1898758800,4.6,15.8,72.6
-1896166800,-0.4,10.2,0.8
-1893488400,0.7,8.4,119.8
-1890810000,-1.9,8.1,45.1
-1888390800,1.1,11.1,70.2
-1885712400,7.9,16.9,79.3
-1883120400,12.6,21.4,176.2
-1880442000,17.3,24.6,112.6
-1877850000,20.0,26.4,147.2
-1875171600,21.2,27.8,419.9
-1872493200,18.0,24.4,201.4
-1869901200,13.2,19.3,307.9
-1867222800,5.9,16.0,46.9
-1864630800,-0.3,9.7,24.2
-1861952400,-1.1,6.8,97.5
-1859274000,0.8,10.1,30.7
-1856854800,3.6,13.0,117.6
-1854176400,9.3,18.5,130.1
-1851584400,11.3,21.2,101.2
-1848906000,17.7,24.6,274.5
-1846314000,21.3,28.5,304.6
-1843635600,22.7,29.7,400.5
-1840957200,19.3,26.7,173.5
-1838365200,12.3,20.1,150.8
-1835686800,8.1,17.7,53.7
-1833094800,0.7,10.1,32.2
-1830416400,-1.4,8.7,49.9
-1827738000,1.1,11.5,120.1
-1825232400,3.7,12.9,115.6
-1822554000,7.6,18.0,142.0
-1819962000,12.4,21.6,106.1
-1817283600,16.5,24.5,264.1
-1814691600,21.1,28.5,152.7
-1812013200,21.6,30.1,67.9
-1809334800,17.2,23.8,400.7
-1806742800,12.2,20.7,107.5
-1804064400,5.4,13.9,106.1
-1801472400,1.2,9.6,101.6
-1798794000,-2.4,7.5,61.1
-1796115600,0.4,9.5,82.5
-1793696400,1.0,11.9,45.1
-1791018000,9.0,18.8,68.0
-1788426000,11.2,21.4,187.0
-1785747600,16.6,24.9,149.4
-1783155600,20.4,27.8,88.3
-1780477200,20.1,28.9,252.2
-1777798800,16.6,24.5,262.3
-1775206800,12.3,19.7,244.9
-1772528400,5.6,15.3,106.8
-1769936400,0.6,11.0,49.4
-1767258000,-0.8,10.8,23.5
-1764579600,-0.4,8.6,64.9
-1762160400,4.5,13.9,197.0
-1759482000,6.8,17.5,178.2
-1756890000,13.9,22.3,193.7
-1754211600,18.3,25.5,124.7
-1751619600,21.6,30.0,26.0
-1748941200,22.7,31.3,278.0
-1746262800,19.3,26.5,355.4
-1743670800,11.6,21.5,151.8
-1740992400,7.7,17.1,54.0
-1738400400,0.9,11.7,47.2
-1735722000,-0.8,8.1,94.0
-1733043600,0.5,8.6,141.2
-1730624400,2.0,11.8,106.3
-1727946000,7.6,16.7,211.1
-1725354000,11.1,20.7,153.8
-1722675600,18.5,26.0,241.6
-1720083600,20.5,28.8,19.5
-1717405200,22.9,29.7,326.1
-1714726800,19.7,26.6,213.0
-1712134800,14.2,21.8,317.4
-1709456400,7.2,15.6,84.8
-1706864400,1.0,11.8,17.9
-1704186000,-0.3,11.4,27.5
-1701507600,-0.1,9.2,139.0
-1699002000,1.1,11.0,61.1
-1696323600,8.6,17.6,113.8
-1693731600,12.7,21.8,135.2
-1691053200,19.1,27.1,141.1
-1688461200,20.9,28.1,319.2
-1685782800,22.1,29.2,202.8
-1683104400,20.3,28.2,170.6
