time,temp,prec
632080800,7.5,0.0
632084400,7.2,0.0
632088000,6.9,0.0
632091600,6.3,0.0
632095200,6.2,0.0
632098800,6.2,0.0
632102400,5.2,2.5
632106000,6.0,0.0
632109600,6.6,0.0
632113200,7.6,0.0
632116800,8.0,0.0
632120400,9.1,0.0
632124000,10.1,0.0
632127600,9.5,0.0
632131200,9.5,0.0
632134800,9.1,0.0
632138400,8.9,0.0
632142000,8.0,0.0
632145600,8.0,0.0
632149200,7.5,0.0
632152800,7.7,0.0
632156400,6.7,0.0
632160000,6.6,0.0
632163600,6.2,0.0
632167200,6.0,0.0
632170800,5.6,0.0
632174400,5.2,0.0
632178000,5.8,0.0
632181600,6.9,0.0
632185200,7.8,0.0
632188800,7.6,0.0
632192400,7.3,0.0
632196000,6.7,0.0
632199600,6.5,0.0
632203200,9.8,0.0
632206800,9.5,0.0
632210400,8.4,0.0
632214000,7.3,0.0
632217600,6.2,0.0
632221200,5.2,0.0
632224800,4.6,0.0
632228400,4.0,0.0
632232000,3.8,0.0
632235600,3.4,0.0
632239200,2.9,0.0
632242800,2.7,0.0
632246400,2.6,0.0
632250000,2.7,0.0
632253600,2.3,0.0
632257200,2.1,0.0
632260800,1.9,0.0
632264400,1.9,0.0
632268000,1.8,0.0
632271600,1.9,0.0
632275200,2.3,0.0
632278800,3.9,0.0
632282400,3.8,0.0
632286000,4.2,0.0
632289600,4.4,0.0
632293200,4.7,0.0
632296800,5.0,0.0
632300400,5.1,0.0
632304000,5.5,0.0
632307600,5.4,0.0
632311200,5.3,0.0
632314800,5.9,0.0
632318400,4.4,0.0
632322000,3.8,0.0
632325600,3.0,0.0
632329200,2.4,0.0
632332800,2.4,0.0
632336400,2.5,0.0
632340000,1.8,0.0
632343600,3.3,0.0
632347200,3.0,0.0
632350800,1.8,0.0
632354400,1.5,0.0
632358000,3.0,0.0
632361600,4.6,0.0
632365200,6.1,0.0
632368800,7.3,0.0
632372400,8.0,0.0
632376000,8.1,0.0
632379600,8.6,0.0
632383200,8.7,0.0
632386800,8.6,0.0
632390400,8.5,0.0
632394000,8.2,0.0
632397600,8.1,0.0
632401200,7.9,0.0
632404800,7.6,0.0
632408400,6.9,0.0
632412000,6.6,0.0
632415600,5.4,0.0
632419200,5.0,0.0
632422800,4.0,0.0
632426400,2.1,0.0
632430000,1.4,1.0
632433600,1.2,2.0
632437200,1.2,1.5
632440800,1.4,1.0
632444400,1.6,0.0
632448000,1.3,1.0
632451600,1.2,1.5
632455200,1.1,1.5
632458800,1.0,2.5
632462400,0.9,2.5
632466000,1.0,2.0
632469600,1.2,1.5
632473200,1.4,0.5
632476800,1.3,0.5
632480400,1.1,0.0
632484000,1.4,0.5
